drug,alternative_1,alternative_2,alternative_3
Tocopherylquinone,Phylloquinone,Antroquinonol,Aliskiren
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",TP-252,Edasalonexent,PPI-1040
13-cis-12-(3'-Carboxyphenyl)retinoic acid,Retinamidic acid,Fenretinide,Isotretinoin
Cobalamin,Cyanocobalamin Co-60,Cyanocobalamin,Dotamtate Pb-212
"1,2-Distearoyllecithin",DL-dimyristoylphosphatidylcholine,Colfosceril palmitate,"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine"
Triethylhexanoin,Docusate,MB-07803,L-aminocarnityl-succinyl-leucyl-argininal-diethylacetal
Methionine sulfoximine,L-methionine sulfone,Theanine,N5-Methylglutamine
Linoleic acid,alpha-Linolenic acid,Dihomo-gamma-linolenic acid,alpha-Hydroxylinoleic acid
"Sodium 1,2-Dipalmitoyl-sn-glycero-3-phospho-(1'-rac-glycerol)",Colfosceril palmitate,DL-dimyristoylphosphatidylcholine,Ferrous cysteine glycinate
Tetrakis(2-methoxyisobutylisocyanide)copper(I) tetrafluoroborate,Technetium Tc-99m sestamibi,Vindesine,cis-Diamminechlorocholylglycinateplatinum(II)
7-Aminodesacetoxycephalosporanic acid,Cefradine,Cephalexin,Cefroxadine
"1,2-Hexanediol",Caprylyl glycol,Glycerin,Propylene glycol
alpha-Arbutin,Arbutin,"3,4-Epoxybutyl-Alpha-D-Glucopyranoside",AVR-48
Butylene glycol,Caprylyl glycol,"1,2-Hexanediol",Glycerin
Ceramide NP,2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate,Ceramide AP,3-deoxy-D-arabino-hexonic acid
Silodrate,Zinc carbonate,Montmorillonite,Hydrotalcite
Phytosphingosine,Ribitol,Xylitol,Sorbitol
Phenylethyl resorcinol,Osalmid,"4,4'-Dihydroxybenzophenone",Bisphenol A
Parasorbic acid,(S)-Aspartimide,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",4-Methyl-Pyrroline-5-Carboxylic Acid
Dihydroxymethoxychalcone,Xanthohumol,"Methyl 2,5-dihydroxycinnamate","N'-[(1E)-(3,5-DIBROMO-2,4-DIHYDROXYPHENYL)METHYLENE]NICOTINOHYDRAZIDE"
Menthol,Neramexane,Menthone,Borneol
Benazeprilat,SLV-334,Quinaprilat,Carfecillin
Tenofovir,"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine","2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",Nd1-Phosphonohistidine
Sacubitrilat,Sacubitril,"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",Benzoyl-tyrosine-alanine-fluoro-methyl ketone
Nadide,3-Acetylpyridine Adenine Dinucleotide,"[(2R,3S,4R,5R)-5-(4-acetonyl-3-carbamoyl-pyridin-1-ium-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphate",Nicotinamide adenine dinucleotide cyclohexanone
Macelignan,Secoisolariciresinol,"(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE",Masoprocol
Methyl salicylate 2-ethylbutyrate,4-(N-ACETYLAMINO)-3-[N-(2-ETHYLBUTANOYLAMINO)]BENZOIC ACID,Articaine,Phthalofyne
8-chlorotheophylline,Bromotheophylline,8-Aminotheophylline,Theophylline
Octyldodecanol,"5-(2-hydroxyethyl)nonane-1,9-diol",Iodoform,Octamoxin
Hypochlorous acid,Chlorine,Chloride ion,Iodine
(-)-menthol 1-propylene glycol carbonate,(1R)-menthyl hexyl phosphonate group,(1S)-menthyl hexyl phosphonate group,Menglytate
Palmitoyl tetrapeptide-7,MM3122,Antipain,S-(N-hydroxy-N-bromophenylcarbamoyl)glutathione
Silicic acid,Silicon dioxide,Selenium Sulfide,"Sodium phosphate, monobasic"
p-Phenylenediamine,p-Iodophenol,Para-Bromobenzyl Alcohol,P-Cresol
Distearyldimonium,Didecyldimethylammonium,Quaternium-24,Decamethonium
p-Aminophenol,Tyramine,Hydroquinone,Tyrosol
Loxicodegol,Nalmefene,Naltrexone,Moxestrol
Glyceryl stearate SE,Gadopiclenol,Gadofosveset trisodium,Ferricrocin-iron
Chloric acid,Perchlorate,Potassium iodate,Arsenite ion
Phosphorus,Boron,Vanadium,Iodide
Ginsenosides,Lanosterol,25-Hydroxycholesterol,20-hydroxycholesterol
Gold,Silver,Aluminium,Berkelium
Synthetic camphor,Anisotropine methylbromide,Myrtecaine,1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone
Oxidronic acid,Clodronic acid,Butedronic acid,RU78783
Titanium,Tantalum,Rubidium,Berkelium
Diazolidinylurea,Gusperimus,Deoxyspergualin,Dihydroorotic Acid
Dipentamethylenethiuram disulfide,N1-CYCLOPENTYL-N2-(THIAZOL-2-YL)OXALAMIDE,Nialamide,"3-Carbamimidamido-1,1-diphenylurea"
alpha-Amyl cinnamaldehyde,S-Ethyl-N-Phenyl-Isothiourea,Cinnamic acid,"(2E,4E)-2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid"
Benzylparaben,Osalmid,Bromochlorosalicylanilide,"4,4'-Dihydroxybenzophenone"
Propylparaben,Butylparaben,Methylparaben,Ethyl hydroxybenzoate
Tetramethylthiuram monosulfide,Thiram,N-Hydroxy-N-Isopropyloxamic Acid,Disulfiram
Nickel sulfate,Magnesium sulfate,Barium sulfate,Cobaltous sulfate
Dichromate,Cupric sulfate,Chromous sulfate,Calcium sulfate
Geraniol,Farnesol,Salirasib,Peretinoin
Cinnamaldehyde,Cinnamyl alcohol,Rivanicline,Idrocilamide
Aripiprazole lauroxil,3-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE,Lapaquistat,Azasetron
Cinnamyl alcohol,Rivanicline,Cinnamaldehyde,Anethole
Hydroxycitronellal,Tetradecyl hydrogen sulfate (ester),6-Hydroxy-6-Methyl-Heptan-3-One,Gemcabene
Isoeugenol,4-Vinylguaiacol,Eugenol,Protocatechualdehyde
Ethylenediamine,2-Ethoxyethanol,Triethylene glycol,Methoxyamine
Diphenylguanidine,"1,3-diphenylurea",Benzyl benzoate,Phenyl salicylate
Ditiocarb zinc,Zinc dibutyldithiocarbamate,Magnesium lactate,Magnesium aspartate hydrochloride
Zinc dibutyldithiocarbamate,Ditiocarb zinc,Magnesium lactate,Acetylcysteine zinc
4-(Isopropylamino)diphenylamine,Monobenzone,CB-103,N-(pyridin-3-ylmethyl)aniline
"N-Cyclohexyl-N'-phenyl-1,4-phenylenediamine",Monobenzone,N-benzyl-4-[(2R)-pyrrolidin-2-ylmethoxy]aniline,MSX-122
Methylchloroisothiazolinone,1-Methylcytosine,7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester,Pyridoxal
Quaternium-15,Dianicline,Homatropine methylbromide,Anisotropine methylbromide
Bromothalonil,Acetone Cyanohydrin,Heptaminol,Ethchlorvynol
Thiohexam,Morpholinylmercaptobenzothiazole,Dipraglurant,"7-(2,5-dihydropyrrol-1-yl)-6-phenyl-pyrido[6,5-d]pyrimidin-2-amine"
"2,2'-Dibenzothiazyl disulfide",Thiohexam,Entospletinib,Serabelisib
Morpholinylmercaptobenzothiazole,Thiohexam,Dipraglurant,"7-(2,5-dihydropyrrol-1-yl)-6-phenyl-pyrido[6,5-d]pyrimidin-2-amine"
Disperse Blue 106,Nifurpirinol,Methyl red,Phenazopyridine
Nickel cation,Zinc cation,Ferrous cation,Manganese
Cobaltous cation,Cupric cation,Calcium cation,Chromic cation
Cobalt chloride,Magnesium chloride,Chromic chloride,Ferrous chloride
Fosinoprilat,Clometocillin,Metampicillin,Spirapril
Ramiprilat,Trandolaprilat,Ramipril,Trandolapril
Trandolaprilat,Ramiprilat,Trandolapril,Ramipril
Moexiprilat,Moexipril,Tosedostat,"4-[(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)amino]-4-oxobutanoic acid"
Methylparaben,Propylparaben,Ethyl hydroxybenzoate,Butylparaben
Perindoprilat,Perindopril,Ramiprilat,Ramipril
Rose bengal lactone,Rose bengal,Tritoqualine,PSI-697
Quinaprilat,Enalaprilat,Lisinopril,Quinapril
Telotristat,PF-06291874,Telotristat ethyl,Olacaftor
Monomethyl fumarate,Dimethyl fumarate,2-Oxo-3-Pentenoic Acid,Butenoic Acid
Beclomethasone 17-monopropionate,Clobetasol propionate,Fluprednisolone acetate,Dexamethasone acetate
Technetium Tc-99m,Xenon Xe-129,Xenon Xe-127,Krypton Kr 81m
Threonic acid,L-threonic acid,D-Xylulose,Tagatose
Deacetylbisacodyl,SKF-96365 free base,Bifonazole,Sulconazole
2-Ethylhexyl 4-phenylbenzophenone-2'-carboxylate,Pitofenone,LY-2183240,Xenysalate
Sorbitan,Alpha-L-Arabinose,Migalastat,alpha-D-Fucopyranose
L-Lactic acid,(2S)-2-HYDROXYOCTANOIC ACID,D-Lactic acid,6-hydroxy-D-norleucine
DL-alpha-Tocopherol,DL-alpha tocopheryl acetate,Vitamin E,gamma-Tocopherol
DL-alpha tocopheryl acetate,DL-alpha-Tocopherol,D-alpha-Tocopherol acetate,Vitamin E
Acetylcysteine zinc,Acetylcysteine magnesium,Ferrous cysteine glycinate,Carbaspirin calcium
Acetylcysteine amide,N-Acetyl-L-Citrulline,Aceglutamide,Glycylglutamine
Calcium phosphate dihydrate,Ferrous carbonate,Technetium Tc-99m medronate,Calcium glycerophosphate
Sodium ascorbate,Ascorbic acid,Malate Like Intermediate,Sodium tartrate
Calcium ascorbate,Magnesium ascorbate,Zinc ascorbate,Ferrous ascorbate
Magnesium ascorbate,Calcium ascorbate,Zinc ascorbate,Ferrous ascorbate
Zinc ascorbate,Magnesium ascorbate,Calcium ascorbate,Ferrous ascorbate
Niacinamide ascorbate,Aranidipine,Nisoldipine,2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine
Zinc acetate,Zinc glycinate,Magnesium acetate,Magnesium glycinate
Ferrous gluconate,Copper gluconate,Calcium gluconate,Manganese gluconate
Ferrous succinate,Strontium malonate,Magnesium malate,Ferric sodium citrate
Ferrous ascorbate,Magnesium ascorbate,Calcium ascorbate,Zinc ascorbate
Ferrous fumarate,Magnesium malate,Ferrous succinate,Strontium malonate
Potassium triiodide,Potassium Iodide,Lithium hydroxide,Strontium chloride Sr-89
Zinc glycinate,Zinc acetate,Magnesium glycinate,Magnesium acetate
Zinc carbonate,Silodrate,Calcium magnesium potassium carbonate chloride hydroxide,Bismuth subnitrate
Manganese citrate,Zinc citrate,Magnesium citrate,Calcium citrate
Sodium molybdate,Sodium sulfate,Sodium chromate Cr-51,Sodium phosphate P 32
Calcium magnesium potassium carbonate chloride hydroxide,Alcloxa,Magnesium phosphate,Zinc carbonate
Potassium acetate,Sodium acetate,Potassium lactate,Sodium metavanadate
Potassium sulfate,Potassium metabisulfite,Potassium carbonate,Sodium sulfate
Potassium,Helium,Platinum,Titanium
Ferrous glycine sulfate,Potassium alum,Zinc glycinate citrate,Calcium levulinate
"Sodium phosphate, dibasic",Sodium fluorophosphate,Dipotassium phosphate,Sodium bicarbonate
Sodium borate,Borate ion,Sodium tripolyphosphate,Sodium glycerophosphate
Lithium hydroxide,Sodium hydroxide,Potassium triiodide,Magnesium peroxide
Lithium citrate,Silver citrate,Sodium citrate,Potassium citrate
Lithium succinate,Silver citrate,Lithium citrate,Lithium carbonate
Lithium carbonate,Ammonium carbonate,Sodium carbonate,Lithium succinate
Ferrous cation,Nickel cation,Magnesium cation,Zinc cation
Acetate,[Methylthio]Acetate,Aminoethyl nitrate,DODECANESULFONATE ION
Mometasone furoate,Mometasone,Clobetasol,Dexamethasone isonicotinate
Magnesium,Magnesium cation,Zinc cation,Manganese
Magnesium levulinate,Calcium levulinate,Aluminium acetoacetate,Magnesium lactate
Magnesium lactate,Calcium lactate,Aluminum acetate,Magnesium malate
Sodium cation,Neon,Neodymium,Niobium
Aluminium phosphate,Ferrous carbonate,Magnesium sulfate,Barium sulfate
Aluminum acetate,Magnesium acetate,Calcium acetate,Magnesium glycinate
Aluminum cation,Bismuth cation,Lanthanum III cation,Gallium cation
Tetraferric tricitrate decahydrate,Ferric pyrophosphate citrate,Ferric pyrophosphate,Sodium stibogluconate
Silver cation,Gold cation (1+),Lithium cation,4-Hydroxybutan-1-Aminium
Hydroxide ion,Iodide,Pentaglyme,2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol
Phosphate ion,Carbonate ion,Mercaptomethyl Phosphonate,Phosphate ion P-32
Gallium cation,Lanthanum III cation,Gadolinium cation (3+),Aluminum cation
Chromic cation,Calcium cation,Cupric cation,Cobaltous cation
Chromic citrate,Gallium citrate,Gallium citrate Ga-67,Ferric (59Fe) citrate
Chromic nitrate,Gallium nitrate,Pentaerythritol tetranitrate,Nitroglycerin
Chromium gluconate,Calcium gluconate,Copper gluconate,Ferrous gluconate
Chromium nicotinate,Aluminium nicotinate,Chromium picolinate,Magnesium salicylate
Chromous sulfate,Calcium sulfate,Cupric sulfate,Cobaltous sulfate
Carbonate ion,Phosphate ion,Mercaptomethyl Phosphonate,Malonate Ion
Zinc cation,Manganese,Magnesium cation,Magnesium
Zinc chloride,Stannous chloride,Magnesium chloride,Strontium chloride
Gold cation (1+),Silver cation,Lithium cation,4-Hydroxybutan-1-Aminium
Indium cation In-111,Gallium cation Ga-67,Radium Ra-223 cation,Indium In-111
Strontium cation Sr-89,Radium Ra-223 cation,Sodium iodide,Sodium sulfide
Chromate ion Cr-51,Molybdate Mo-99,Molybdate,Sodium chromate Cr-51
Hydrocortisone aceponate,Hydrocortisone probutate,Hydrocortisone valerate,Hydrocortisone butyrate
Hydrocortisone acetate,Prednisolone caproate,Prednisolone acetate,Cortisone acetate
Hydrocortisone butyrate,Hydrocortisone valerate,Hydrocortisone acetate,Clascoterone
Hydrocortisone cypionate,Hydrocortisone succinate,Tixocortol,Hydrocortisone
Hydrocortisone phosphate,Hydrocortisone succinate,Prednisolone phosphate,Hydrocortisone cypionate
Hydrocortisone probutate,Hydrocortisone aceponate,Prednicarbate,Hydrocortisone valerate
Hydrocortisone valerate,Hydrocortisone butyrate,Hydrocortisone acetate,Clascoterone
Hydrocortisone succinate,Hydrocortisone phosphate,Hydrocortisone cypionate,Prednisolone hemisuccinate
Sulfate ion,Molybdate,DODECANESULFONATE ION,Phosphate ion
Chloride ion,Hypochlorous acid,Chlorine,Iodide
Gallium cation Ga-67,Gadolinium cation (3+),Radium Ra-223 cation,Bismuth cation
Gallium chloride Ga-67,Radium Ra 223 dichloride,Aluminum hydroxide,Ferric hydroxide
Phosphorus P-32,Lanthanum III cation,Chromic cation,Bismuth cation
Cupric cation,Calcium cation,Cobaltous cation,Chromic cation
Borate ion,Sodium borate,Calcium phosphate dihydrate,Technetium Tc-99m medronate
Dotatate,Copper oxodotreotide Cu-64,Edotreotide,Pentetreotide
Ursadiol,Enoxolone,Acetoxolone,Ursolic acid
Peracetic acid,Aminooxyacetic acid,Butyric Acid,gamma-Aminobutyric acid
Ethylhexylglycerin,Etohexadiol,Chlorhexadol,Hydroxybutyloxide
Ivosidenib,MK-0668,"N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE",N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid
Tedizolid,Tedizolid phosphate,Reldesemtiv,Brensocatib
Hydroxyprogesterone,Gestonorone,Nomegestrol,Algestone
Radium Ra-223 cation,Magnesium oxide,Magnesium cation,Zinc cation
Bismuth cation,Aluminum cation,Lanthanum III cation,Gadolinium cation (3+)
Phosphate ion P-32,Molybdate,Perchlorate,Nitroglycerin
Cobalt,Cesium,Cadmium,Copper
Eslicarbazepine,Eslicarbazepine acetate,Carbamazepine,Dimethoxanate
Thallous cation Tl-201,Thallium Tl-201,Thallous chloride Tl-201,Sodium borate
Calcium cation,Cupric cation,Cobaltous cation,Chromic cation
Gadolinium cation (3+),Gallium cation,Aluminum cation,Lanthanum III cation
Lanthanum III cation,Gallium cation,Aluminum cation,Bismuth cation
CPI-1205,Firsocostat,Golidocitinib,Fimasartan
Segesterone acetate,Segesterone,Melengestrol,Melengestrol acetate
Segesterone,Segesterone acetate,Prednylidene,Melengestrol
Caprylyl glycol,"1,2-Hexanediol",Glycerin,Propylene glycol
Loteprednol,Prednisolone,Prednisone,Chloroprednisone
Edetate calcium disodium anhydrous,Edetate copper disodium,Edetate sodium,Sodium citrate
Edetate copper disodium,Edetate calcium disodium anhydrous,Edetate sodium,Sodium citrate
Edetate disodium anhydrous,Edetate sodium,Edetate copper disodium,Edetate calcium disodium anhydrous
Sodium phosphate tribasic dodecahydrate,Ferric sulfate,Stibophen,Aluminum sulfate
Acetyl chloride,Caprylhydroxamic acid,Hydroxyurea,Acetohydroxamic acid
Nandrolone hydrogen sulfate,"SUCCINIC ACID MONO-(13-METHYL-3-OXO-2,3,6,7,8,9,10,11,12,13,14,15,16,17-TETRADECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-17-YL) ESTER",Oxabolone,Nandrolone phenpropionate
Meprednisone acetate,Dexamethasone acetate,Fluprednisolone acetate,Prednisolone acetate
Pregnenolone acetate,Medroxyprogesterone acetate,Prasterone enantate,Medrysone
Oxyphenisatin acetate,Bisoxatin acetate,Clinofibrate,Leriglitazone
Pseudosaccharin chloride,"Isoindolin-1,3-Dithione","4-{[(Z)-(5-oxo-2-phenyl-1,3-oxazol-4(5H)-ylidene)methyl]amino}butanoic acid",Lawsone
Trifluoroethyl acetate,"1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE",Hexafluoroacetone Hydrate,Trifluoromethionine
Tyramine O-sulfate,(4-ETHYLPHENYL)SULFAMIC ACID,p-Toluenesulfonic acid,Sulfogaiacol
Prednisolone phosphate,Prednisolone hemisuccinate,Hydrocortisone succinate,Loteprednol
Prednisolone tebutate,Clobetasol propionate,Beclomethasone 17-monopropionate,Fluprednisolone acetate
Prednisolone hemisuccinate,Prednisolone phosphate,Hydrocortisone succinate,Hydrocortisone phosphate
Fluprednidene acetate,Fluprednidene,Prednylidene,Melengestrol
Curcumin sulfate,Curcumin,2-[4-[(Z)-2-Acetamido-3-oxo-3-[[(3S)-2-oxo-1-[(4-phenylphenyl)methyl]azepan-3-yl]amino]prop-1-enyl]-2-formylphenyl]acetic acid,Balsalazide
Triciribine phosphate,Triciribine,6-hydroxyuridine-5'-phosphate,6-Hydro-1-Methyladenosine-5'-Monophosphate
Fluprednisolone acetate,Meprednisone acetate,Paramethasone acetate,Methylprednisolone aceponate
Diloxanide furoate,Fenofibric acid,Bezafibrate,Diloxanide
Boldenone undecylenate,Testosterone isocaproate,Etonogestrel,Testosterone enanthate
Isoflupredone acetate,Prednisolone acetate,Prednisolone caproate,Prednisone acetate
Estriol tripropionate,Estradiol dienanthate,Estradiol acetate,Cimetropium
Lypressin,Desmopressin,Ozarelix,Demoxytocin
Methylprednisolone aceponate,Difluprednate,Fluprednisolone acetate,Paramethasone acetate
Methylprednisolone hemisuccinate,Methylprednisolone,Alclometasone,Methylprednisolone aceponate
Nitrogen trichloride,Chloroform,Aluminum chloride,Chloral hydrate
Prednisone acetate,Cortisone acetate,Prednisolone acetate,Prednisolone caproate
Sulfur chloride,Hypochlorite,Ornidazole,Indium In-111 chloride
Acetyl simvastatin,Simvastatin,Tenivastatin,Lovastatin
Dexamethasone acetate,Meprednisone acetate,Clobetasol propionate,Fluprednisolone acetate
Menadiol diphosphate,Sulisobenzone,N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid
Perphenazine enanthate,Thiopropazate,Prochlorperazine,Perphenazine
Clocortolone acetate,Clocortolone caproate,Fluocortolone caproate,Paramethasone acetate
Clocortolone caproate,Clocortolone acetate,Fluocortolone caproate,Paramethasone acetate
Bisoxatin acetate,Oxyphenisatin acetate,Idanpramine,Leriglitazone
Drostanolone propionate,Alfaxalone,Stanolone acetate,Brexanolone
Chlorphenesin carbamate,Styramate,Atenolol,Labetalol
Paramethasone acetate,Clocortolone caproate,Clocortolone acetate,Fluocortolone caproate
Chloramphenicol palmitate,Chloramphenicol succinate,1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane,HONH-BENZYLMALONYL-L-ALANYLGLYCINE-P-NITROANILIDE
Melengestrol acetate,Melengestrol,Segesterone acetate,Megestrol acetate
Trenbolone acetate,Norgestrienone,Gestrinone,Metribolone
Loperamide oxide,Loperamide,PF-03635659,Difenoxin
Flunisolide acetate,Fluocinonide,Flurandrenolide acetate,Ciclesonide
Ribavirin monophosphate,AICA ribonucleotide,Nicotinamide Mononucleotide,Cytidine 3'-monophosphate
Difluocortolone pivalate,Fluocortolone pivalate,Difluocortolone,Clocortolone
Bornyl acetate,Menglytate,PD-217014,Epomediol
Oleoyl chloride,Oleic monoethanolamide,Oleic Acid,Palmitoleic Acid
Phenyl hydrogen sulfate,phenyl ethenesulfonate,2-Phenylamino-Ethanesulfonic Acid,3-(cyclohexylamino)propanesulfonic acid
Dienestrol diacetate,Dienestrol,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide
Betamethasone phosphate,Dexamethasone isonicotinate,Clobetasol,Mometasone
Lauroyl chloride,Methyl nonanoate,Lauric acid,N-Tridecanoic Acid
Temazepam acetate,Oxazepam acetate,Camazepam,Ethyl loflazepate
Oxazepam acetate,Temazepam acetate,Ethyl loflazepate,Clorazepic acid
Flurandrenolide acetate,Flunisolide acetate,Fluocinonide,Ciclesonide
Estramustine phosphate,Estramustine,Estradiol hemisuccinate,Estradiol sulfamate
Temsavir,Fostemsavir,BMS-488043,Sildenafil
Fagrocorat,Fosdagrocorat,MRK-003,CP-195543
Gestonorone caproate,Hydroxyprogesterone caproate,Norgestomet,Nomegestrol acetate
Norethindrone enanthate,Clascoterone,Gestonorone,Etonogestrel
Quingestanol acetate,Quingestanol,Ethynodiol diacetate,Quinestrol
Combretastatin A4,CA4P,Pterostilbene,Combretastatin
Cortisone,Tixocortol,Hydrocortisone,Prednisone
Dextrorphan,Levorphanol,Levallorphan,Hydroquinidine
Prezatide copper,N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid,Apstatin,Pentagastrin
Ferric oxyhydroxide,Hafnium oxide,Cerium dioxide,Ferric hydroxide
Ethyl 8-hydroxy-alpha-(2-propynylamino)-5-quinolinepropanoate,Bindarit,Abexinostat,Bis-Napthyl Beta-Ketophosphonic Acid
Sodium metavanadate,Sodium acetate,Sodium molybdate,Potassium acetate
Dexamethasone metasulfobenzoate,Dexamethasone isonicotinate,Betamethasone phosphate,Mometasone furoate
Ribitol,Xylitol,Sorbitol,Erythritol
Ceramide AP,2-Deoxy-Glucitol-6-Phosphate,L-Threonohydroxamate 4-Phosphate,D-glucitol 6-phosphate
Ceramide NG,Ceramide AP,"Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide",5-AMINO-6-CYCLOHEXYL-4-HYDROXY-2-ISOPROPYL-HEXANOIC ACID
Tosylchloramide,4-(2-Aminoethyl)Benzenesulfonyl Fluoride,(4-ETHYLPHENYL)SULFAMIC ACID,p-Toluenesulfonic acid
Tenivastatin,Mevinolinic acid,Simvastatin,Pravastatin
Cinazepam,Oxazepam acetate,Temazepam acetate,Clorazepic acid
Clonazolam,Nitrazolam,Triazolam,Brotizolam
Nitrazolam,Clonazolam,Alprazolam,Midazolam
Pyrazolam,Alprazolam,Midazolam,Brotizolam
Bentazepam,Bromazepam,Aplindore,Nordazepam
Brovanexine,Relenopride,RS-39604,"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid"
ADU-S100,Ado-P-Ch2-P-Ps-Ado,Adenosine-5-Diphosphoribose,Uridylyl-2'-5'-phospho-adenosine
Larotrectinib,"(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE",Cobimetinib,Terconazole
Cefamandole nafate,Cefamandole,Cephaloglycin,Cefapirin
Dabigatran,4-(5-BENZENESULFONYLAMINO-1-METHYL-1H-BENZOIMIDAZOL-2-YLMETHYL)-BENZAMIDINE,Avoralstat,Methotrexate
Riboflavin tetrabutyrate,Valomaciclovir stearate,Triglu-5-formyl-tetrahydrofolate,Coenzyme F420
Mebenil,(S)-Propafenone,Guacetisal,4-bromo-2-{[(2R)-2-(2-chlorobenzyl)pyrrolidin-1-yl]carbonyl}aniline
Rebeccamycin,Becatecarin,7-Hydroxystaurosporine,Staurosporine
Queuine,3'-deoxyguanosine,Immucillin-G,6-methyl-formycin A
Ceftobiprole medocaril,Ceftolozane,Carboxymycobactin T,Flavin-adenine dinucleotide-N5-isobutyl ketone
Cannabigerol,Xanthohumol,Amitraz,Elafibranor
Cannabichromene,Pirnabine,Dexanabinol,Tetrahydrocannabivarin
Cannabivarin,Cannabinol,Tilorone,Naphthoquine
Cannabinol,Cannabivarin,Tilorone,Naphthoquine
Phenolsulfonic acid,Dobesilic acid,Benzylsulfonic acid,2-Phenylamino-Ethanesulfonic Acid
Polymyxin B,Colistin,Larazotide,Reltecimod
Lauryl glucoside,N-9-Methoxynonyldeoxynojirimycin,"(2R,3R,4R,5S)-2-(HYDROXYMETHYL)-1-NONYLPIPERIDINE-3,4,5-TRIOL",Miglustat
Cidoxepin,Dosulepin,Chlorprothixene,Doxepin
Racephedrine,Ephedrine,Pseudoephedrine,Cathine
Hydroxystilbamidine,Methyl red,Diminazene,NM-004
Solriamfetol,Carisbamate,Phenylalanylamide,methyl L-phenylalaninate
beta-Isosparteine,Sparteine,"6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine",19-Nor-5-androstenediol
meso-Tartaric acid,L-tartaric acid,D-tartaric acid,Succimer
Narlaprevir,Boceprevir,Rebimastat,MMI-175
Remdesivir,Sofosbuvir,Uprifosbuvir,Adafosbuvir
Cycloguanil,Bromo-WR99210,"6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE",Simendan
Rivoceranib,Motesanib,Bentamapimod,Evobrutinib
Etrasimod,PF-03814735,Tropifexor,ONO-2952
PF-06459988,Mavelertinib,Futibatinib,Namodenoson
Pamiparib,"9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE",Rucaparib,"(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE"
